File = D:\moldex3D\Ray_project_0802\Report\XYPlot\保壓-壓力11.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,保壓-壓力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
組別 11 : Pp:70 MPa_Pt:0.5 s. (MPa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (sec),runner_core ,Time (sec),SN18_core ,Time (sec),SN11_core ,Time (sec),SN4_core ,Time (sec),SN21 ,Time (sec),SN20 ,Time (sec),SN19 ,Time (sec),SN18 ,Time (sec),SN17 ,Time (sec),SN16 ,Time (sec),SN15 ,Time (sec),SN14 ,Time (sec),SN13 ,Time (sec),SN12 ,Time (sec),SN11 ,Time (sec),SN10 ,Time (sec),SN9 ,Time (sec),SN8 ,Time (sec),SN7 ,Time (sec),SN6 ,Time (sec),SN5 ,Time (sec),SN4 ,Time (sec),SN3 ,Time (sec),SN2 ,Time (sec),SN1 ,Time (sec),gate,Time (sec),runner ,Time (sec),sprue
0.324529,0.0628916,1.49533,0.0123075,1.15294,0.339382,0.89386,0.0354963,1.69395,0.116452,1.69395,0.123174,1.69395,0.099142,1.49533,0,1.33575,0.00481055,1.31929,0.00338799,1.33575,0.0170256,1.23317,0.906718,1.23317,1.06264,1.23317,0.859517,1.15294,0.280486,1.08659,0.642737,1.08659,0.710541,1.08659,0.611938,1.02175,0.0126218,1.02175,0.00357444,1.04047,0.323564,0.89386,0.00637253,0.794616,0,0.764608,0.0008544,0.794616,0,0.731235,0.132058,0.34096,0.425056,0.0162608,1.83808
0.34096,0.424714,1.51112,0.0877799,1.16896,1.84395,0.912637,0.283377,1.72502,1.34063,1.72502,2.5044,1.72502,0.92124,1.51112,0.0520248,1.35255,0.171762,1.33575,0.0877796,1.35255,0.158008,1.25007,2.47455,1.25007,2.57889,1.25007,2.44564,1.16896,1.83872,1.10496,2.5258,1.10496,2.58363,1.10496,2.50821,1.04047,0.337611,1.04047,0.395042,1.05746,0.691831,0.912637,0.28254,0.814193,0.321278,0.780387,0.333248,0.814193,0.322766,0.746073,0.440678,0.35745,0.769317,0.0332607,7.2442
0.35745,0.775671,1.52654,0.219184,1.18494,3.54206,0.926785,0.546052,1.73359,25.434,1.73359,25.3769,1.73359,25.5503,1.52654,0.221365,1.3686,0.297403,1.35255,0.240517,1.3686,0.28153,1.26969,3.16742,1.26969,3.2351,1.26969,3.14779,1.18494,3.53617,1.12095,4.30904,1.12095,4.36257,1.12095,4.29274,1.05746,0.723855,1.05746,0.84682,1.07112,2.33142,0.926785,0.545767,0.8283,0.671217,0.794616,0.560996,0.8283,0.667607,0.764608,0.817934,0.373934,1.10885,0.0488784,10.172
0.373934,1.11572,1.54183,0.336636,1.20099,5.47666,0.940988,0.81302,1.74345,38.8038,1.74345,38.798,1.74345,38.8139,1.54183,0.339175,1.3844,0.428088,1.3686,0.375241,1.3844,0.40977,1.28299,3.53401,1.28299,3.59898,1.28299,3.51254,1.20099,5.4702,1.13692,6.29573,1.13692,6.34048,1.13692,6.27632,1.07112,2.35724,1.07112,2.40463,1.08659,4.05219,0.940988,0.81271,0.846998,1.08089,0.814193,0.898772,0.846998,1.07159,0.780387,1.10868,0.390443,1.45083,0.0651419,11.0506
0.390443,1.45771,1.55718,0.460444,1.21711,7.62786,0.959928,1.19091,1.75479,50.2418,1.75479,50.2329,1.75479,50.2432,1.55718,0.463016,1.40001,0.549539,1.3844,0.509248,1.40001,0.526251,1.2994,4.02266,1.2994,4.09748,1.2994,3.99725,1.21711,7.6209,1.15294,8.49854,1.15294,8.53866,1.15294,8.47775,1.08659,4.07209,1.08659,4.09417,1.10496,6.22169,0.959928,1.19064,0.861035,1.38357,0.8283,1.16972,0.861035,1.3713,0.794616,1.34637,0.406852,1.79537,0.0818941,11.9232
0.406852,1.80207,1.57306,0.566411,1.23317,9.97656,0.974172,1.48233,1.76783,59.1803,1.76783,59.176,1.76783,59.1798,1.57306,0.569015,1.41559,0.680643,1.40001,0.634592,1.41559,0.65442,1.31929,4.60601,1.31929,4.70559,1.31929,4.57827,1.23317,9.9692,1.16896,10.8846,1.16896,10.9192,1.16896,10.8624,1.10496,6.23741,1.10496,6.25247,1.12095,8.2892,0.974172,1.48207,0.879814,1.79337,0.846998,1.5361,0.879814,1.7841,0.814193,1.73582,0.423277,2.13614,0.0976778,12.6659
0.423277,2.1426,1.59648,0.784124,1.25007,12.5703,0.993188,1.88752,1.78283,64.5622,1.78283,64.5609,1.78283,64.5607,1.59648,0.78678,1.43099,0.807139,1.41559,0.769915,1.43099,0.780029,1.33575,5.04618,1.33575,5.14977,1.33575,5.01654,1.25007,12.5626,1.18494,13.427,1.18494,13.4563,1.18494,13.4034,1.12095,8.30403,1.12095,8.31649,1.13692,10.5423,0.993188,1.88731,0.89386,2.10489,0.861035,1.82359,0.89386,2.09378,0.8283,2.0386,0.439697,2.47043,0.114236,13.2529
0.439697,2.47664,1.61175,0.91595,1.26969,14.4304,1.00747,2.20395,1.80007,67.1171,1.80007,67.1196,1.80007,67.1153,1.61175,0.918668,1.44673,0.902885,1.43099,0.902608,1.44673,0.874945,1.35255,5.44449,1.35255,5.55881,1.35255,5.41696,1.26969,14.4224,1.20099,16.1274,1.20099,16.1526,1.20099,16.1036,1.13692,10.5576,1.13692,10.5668,1.15294,12.9884,1.00747,2.20376,0.912637,2.53002,0.879814,2.22557,0.912637,2.51766,0.846998,2.43773,0.454055,2.76295,0.130934,13.7025
0.454055,2.76883,1.62707,1.05123,1.28299,15.5376,1.02175,2.52841,1.8199,67.9789,1.8199,67.9839,1.8199,67.9772,1.62707,1.054,1.46273,1.02404,1.44673,1.00445,1.46273,0.994477,1.3686,5.77988,1.3686,5.90622,1.3686,5.74965,1.28299,15.5294,1.21711,18.9737,1.21711,18.9945,1.21711,18.9503,1.15294,13.0037,1.15294,13.0094,1.16896,15.5868,1.02175,2.52823,0.926785,2.86144,0.89386,2.53469,0.926785,2.84836,0.861035,2.74667,0.470776,3.06459,0.147891,14.0663
0.470776,3.07019,1.69395,1.63903,1.2994,16.9241,1.04047,2.97604,1.84271,68.0528,1.84271,68.059,1.84271,68.0519,1.69395,1.64196,1.47922,1.17239,1.46273,1.1302,1.47922,1.1391,1.3844,6.08171,1.3844,6.22123,1.3844,6.04897,1.2994,16.9156,1.23317,21.9356,1.23317,21.9503,1.23317,21.9125,1.16896,15.6021,1.16896,15.6038,1.18494,18.3083,1.04047,2.97588,0.940988,3.1995,0.912637,2.95968,0.940988,3.18604,0.879814,3.1747,0.487125,3.20722,0.16488,14.2798
0.487125,3.21262,1.72502,2.87078,1.31929,18.4058,1.05746,3.45687,1.86894,67.6177,1.86894,67.6249,1.86894,67.6171,1.72502,2.87211,1.49533,1.30714,1.47922,1.28774,1.49533,1.27123,1.40001,6.34589,1.40001,6.49807,1.40001,6.30997,1.31929,18.3971,1.25007,25.155,1.25007,25.1611,1.25007,25.133,1.18494,18.3234,1.18494,18.3206,1.20099,21.1634,1.05746,3.45667,0.959928,3.66706,0.926785,3.29282,0.959928,3.65206,0.89386,3.50129,0.504819,3.63334,0.178444,14.4009
0.504819,3.63837,1.73359,23.7558,1.33575,19.4573,1.07112,5.08618,1.8991,66.8978,1.8991,66.9059,1.8991,66.8974,1.73359,23.7461,1.51112,1.45958,1.49533,1.43017,1.51112,1.42131,1.41559,6.5952,1.41559,6.7607,1.41559,6.55633,1.33575,19.4485,1.26969,27.848,1.26969,27.8448,1.26969,27.8279,1.20099,21.178,1.20099,21.1705,1.21711,24.1461,1.07112,5.08596,0.974172,4.02613,0.940988,3.6339,0.974172,4.01041,0.912637,3.94687,0.519614,3.80901,0.195456,14.5725
0.519614,3.81379,1.74345,39.0462,1.35255,20.3778,1.08659,6.83379,1.93378,65.9815,1.93378,65.9905,1.93378,65.9815,1.74345,39.0406,1.52654,1.61038,1.51112,1.59276,1.52654,1.56815,1.43099,6.81799,1.43099,6.9969,1.43099,6.77723,1.35255,20.3689,1.28299,29.3671,1.28299,29.3551,1.28299,29.3487,1.21711,24.16,1.21711,24.1475,1.23317,27.2258,1.08659,6.83357,0.993188,4.52072,0.959928,4.10608,0.993188,4.5043,0.926785,4.29466,0.535587,4.14009,0.212337,14.7841
0.535587,4.14461,1.75479,50.4993,1.3686,21.1386,1.10496,9.06244,1.97367,64.8935,1.97367,64.903,1.97367,64.8936,1.75479,50.493,1.54183,1.75463,1.52654,1.75375,1.54183,1.70992,1.44673,6.99161,1.44673,7.18171,1.44673,6.94972,1.3686,21.1297,1.2994,31.269,1.2994,31.2419,1.2994,31.2532,1.23317,27.2388,1.23317,27.2207,1.25007,30.5719,1.10496,9.06223,1.00747,4.90246,0.974172,4.46943,1.00747,4.88581,0.940988,4.65014,0.551425,4.44474,0.228785,15.2376
0.551425,4.44901,1.76783,59.3726,1.3844,21.7852,1.12095,11.2113,2.01954,63.6627,2.01954,63.6723,2.01954,63.6628,1.76783,59.3673,1.55718,1.89852,1.54183,1.90799,1.55718,1.85116,1.46273,7.17404,1.46273,7.37651,1.46273,7.13045,1.3844,21.7762,1.31929,33.2764,1.31929,33.233,1.31929,33.2627,1.25007,30.5836,1.25007,30.559,1.26969,33.4923,1.12095,11.2111,1.02175,5.29108,0.993188,4.97027,1.02175,5.27421,0.959928,5.13959,0.569423,4.80277,0.243649,15.8107
0.569423,4.80682,1.78283,64.7847,1.40001,22.3319,1.13692,13.5508,2.07229,62.2796,2.07229,62.2885,2.07229,62.2796,1.78283,64.7814,1.57306,2.02099,1.55718,2.0617,1.57306,1.97302,1.47922,7.37277,1.47922,7.58936,1.47922,7.32614,1.40001,22.3228,1.33575,34.6223,1.33575,34.5645,1.33575,34.6114,1.26969,33.5029,1.26969,33.473,1.28299,35.0984,1.13692,13.5506,1.04047,5.82017,1.00747,5.35706,1.04047,5.80303,0.974172,5.5154,0.585421,5.13074,0.260299,16.3027
0.585421,5.13465,1.80007,67.2892,1.41559,22.8064,1.15294,16.0818,2.13032,60.7997,2.13032,60.8086,2.13032,60.7998,1.80007,67.2867,1.59648,2.27166,1.57306,2.19087,1.59648,2.21882,1.49533,7.54686,1.49533,7.7749,1.49533,7.49802,1.41559,22.7973,1.35255,35.7584,1.35255,35.6822,1.35255,35.7517,1.28299,35.1076,1.28299,35.0727,1.2994,37.1185,1.15294,16.0816,1.05746,6.35647,1.02175,5.75077,1.05746,6.33834,0.993188,6.03177,0.601442,5.47154,0.276889,16.6704
0.601442,5.47535,1.8199,68.1077,1.43099,23.2115,1.16896,18.7607,2.19415,59.2336,2.19415,59.2422,2.19415,59.2336,1.8199,68.1056,1.61175,2.42527,1.59648,2.46022,1.61175,2.37041,1.51112,7.72951,1.51112,7.97133,1.51112,7.67785,1.43099,23.2024,1.3686,36.6944,1.3686,36.5998,1.3686,36.6912,1.2994,37.1257,1.2994,37.0823,1.31929,39.2593,1.16896,18.7606,1.07112,7.98396,1.04047,6.28654,1.07112,7.96531,1.00747,6.4295,0.617428,5.80781,0.293481,16.9571
0.617428,5.81154,1.84271,68.114,1.44673,23.5439,1.18494,21.5564,2.19415,59.2336,2.19415,59.2422,2.19415,59.2336,1.84271,68.1116,1.62707,2.57761,1.61175,2.62424,1.62707,2.52103,1.52654,7.90459,1.52654,8.15972,1.52654,7.84971,1.44673,23.5347,1.3844,37.477,1.3844,37.3629,1.3844,37.4777,1.31929,39.2648,1.31929,39.212,1.33575,40.67,1.18494,21.5563,1.08659,9.75531,1.05746,6.8276,1.08659,9.73741,1.02175,6.83358,0.634372,6.10875,0.310091,17.2182
0.634372,6.11244,1.86894,67.6644,1.46273,23.8394,1.20099,24.4815,2.20985,58.8523,2.20985,58.8618,2.20985,58.8525,1.86894,67.6617,1.69395,3.22149,1.62707,2.78787,1.69395,3.15613,1.54183,8.06885,1.54183,8.3366,1.54183,8.01114,1.46273,23.8303,1.40001,38.1333,1.40001,37.9998,1.40001,38.1378,1.33575,40.6737,1.33575,40.6122,1.35255,41.8575,1.20099,24.4814,1.10496,12.0239,1.07112,8.45185,1.10496,12.007,1.04047,7.382,0.64874,6.25176,0.324529,17.4594
0.64874,6.25548,1.8991,66.9337,1.47922,24.1133,1.21711,27.5325,2.2279,58.4229,2.2279,58.4324,2.2279,58.4229,1.8991,66.9305,1.72502,4.17937,1.69395,3.48133,1.72502,4.09941,1.55718,8.22699,1.55718,8.5069,1.55718,8.1667,1.47922,24.1042,1.41559,38.6922,1.41559,38.5377,1.41559,38.7007,1.35255,41.8586,1.35255,41.7866,1.3686,42.8378,1.21711,27.5324,1.12095,14.2303,1.08659,10.2239,1.12095,14.2139,1.05746,7.92972,0.667128,6.48267,0.34096,17.7732
0.667128,6.48642,1.93378,66.0079,1.49533,24.3464,1.23317,30.6786,2.24866,57.9373,2.24866,57.9467,2.24866,57.9373,1.93378,66.0046,1.73359,23.0819,1.72502,4.42981,1.73359,23.0544,1.57306,8.35949,1.57306,8.64859,1.57306,8.29812,1.49533,24.3372,1.43099,39.1667,1.43099,38.9906,1.43099,39.1793,1.3686,42.8366,1.3686,42.7544,1.3844,43.6571,1.23317,30.6786,1.13692,16.6319,1.10496,12.4955,1.13692,16.6157,1.07112,9.53805,0.682793,6.68102,0.35745,18.133
0.682793,6.68473,1.97367,64.9194,1.51112,24.5651,1.25007,34.1033,2.27253,57.389,2.27253,57.3983,2.27253,57.3891,1.97367,64.9159,1.74345,39.4481,1.73359,23.1934,1.74345,39.4124,1.59648,8.61677,1.59648,8.92557,1.59648,8.55092,1.51112,24.5559,1.44673,39.5661,1.44673,39.3689,1.44673,39.5824,1.3844,43.6533,1.3844,43.5602,1.40001,44.3447,1.25007,34.1033,1.15294,19.2237,1.12095,14.7074,1.15294,19.2078,1.08659,11.3054,0.698192,7.75207,0.373934,18.5224
0.698192,7.75535,2.01954,63.6904,1.52654,24.7676,1.26969,37.1985,2.29999,56.7715,2.29999,56.7807,2.29999,56.7716,2.01954,63.6857,1.75479,50.7518,1.74345,39.5834,1.75479,50.7304,1.61175,8.77214,1.61175,9.09299,1.61175,8.70392,1.52654,24.7584,1.46273,39.9009,1.46273,39.6804,1.46273,39.9217,1.40001,44.3386,1.40001,44.2346,1.41559,44.9302,1.26969,37.1987,1.16896,21.9589,1.13692,17.1152,1.16896,21.9432,1.10496,13.5787,0.715215,7.35999,0.390443,18.9231
0.715215,7.36322,2.07229,62.3057,1.54183,24.9517,1.28299,38.8858,2.33156,56.0773,2.33156,56.087,2.33156,56.0774,2.07229,62.3008,1.76783,59.5833,1.75479,50.8372,1.76783,59.5644,1.62707,8.92159,1.62707,9.25467,1.62707,8.85117,1.54183,24.9425,1.47922,40.2039,1.47922,39.9554,1.47922,40.2302,1.41559,44.9214,1.41559,44.8057,1.43099,45.4284,1.28299,38.8859,1.18494,24.805,1.15294,19.7132,1.18494,24.7894,1.12095,15.801,0.731235,7.97404,0.406852,19.3183
