File = D:\moldex3D\Ray_project_0802_2\Ray_project_0802\Ray_project_0802\Report\XYPlot\保壓-壓力25.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,保壓-壓力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
組別 1 : Pp:90 MPa_Pt:0.1 s. (MPa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (sec),runner_core ,Time (sec),SN18_core ,Time (sec),SN11_core ,Time (sec),SN4_core ,Time (sec),SN21 ,Time (sec),SN20 ,Time (sec),SN19 ,Time (sec),SN18 ,Time (sec),SN17 ,Time (sec),SN16 ,Time (sec),SN15 ,Time (sec),SN14 ,Time (sec),SN13 ,Time (sec),SN12 ,Time (sec),SN11 ,Time (sec),SN10 ,Time (sec),SN9 ,Time (sec),SN8 ,Time (sec),SN7 ,Time (sec),SN6 ,Time (sec),SN5 ,Time (sec),SN4 ,Time (sec),SN3 ,Time (sec),SN2 ,Time (sec),SN1 ,Time (sec),gate,Time (sec),runner ,Time (sec),sprue
0.34117,0.432319,1.15285,0.327209,1.15285,0.327209,0.893912,0.0359959,1.69392,0.119783,1.69392,0.136982,1.69392,0.0981639,1.49387,0,1.3342,0.0175453,1.3342,0.0335378,1.3342,0.0212373,1.23312,0.89278,1.23312,1.0622,1.23312,0.864724,1.15285,0.266884,1.08656,0.641149,1.08656,0.710468,1.08656,0.610247,1.02174,0.0126357,1.02174,0.00737066,1.04046,0.322961,0.893912,0.00648909,0.798941,0.00911823,0.763867,0.0100368,0.798941,0.0104204,0.730767,0.12361,0.34117,0.432319,0.0162607,1.83805
0.357651,0.772561,1.16887,1.84196,1.16887,1.84196,0.912622,0.283284,1.72417,0.397588,1.72417,0.44856,1.72417,0.357618,1.5101,0.0412664,1.35084,0.161277,1.35084,0.234666,1.35084,0.146217,1.24996,2.45183,1.24996,2.55993,1.24996,2.42428,1.16887,1.83678,1.10493,2.52336,1.10493,2.57966,1.10493,2.50653,1.04046,0.337269,1.04046,0.395453,1.05744,0.689722,0.912622,0.282474,0.81345,0.282433,0.779722,0.325872,0.81345,0.286131,0.747838,0.492458,0.357651,0.772561,0.0332605,7.24401
0.374129,1.11145,1.18486,3.53756,1.18486,3.53756,0.926769,0.546236,1.73131,23.2821,1.73131,23.4395,1.73131,23.323,1.52569,0.211539,1.36691,0.284606,1.36691,0.363176,1.36691,0.270675,1.26811,3.13095,1.26811,3.20112,1.26811,3.11542,1.18486,3.53169,1.12088,4.30307,1.12088,4.35709,1.12088,4.28923,1.05744,0.722796,1.05744,0.845525,1.0711,2.32898,0.926769,0.545924,0.828246,0.661916,0.798941,0.631375,0.828246,0.655797,0.763867,0.806658,0.374129,1.11145,0.048885,10.173
0.390612,1.45188,1.20089,5.46644,1.20089,5.46644,0.940975,0.813745,1.73953,36.2057,1.73953,36.2194,1.73953,36.1999,1.54098,0.334074,1.38275,0.409726,1.38275,0.490902,1.38275,0.391728,1.2868,3.63792,1.2868,3.70633,1.2868,3.61759,1.20089,5.45999,1.13683,6.28175,1.13683,6.32883,1.13683,6.26681,1.0711,2.35626,1.0711,2.40311,1.08656,4.04933,0.940975,0.813434,0.847129,1.08419,0.81345,0.869911,0.847129,1.07509,0.779722,1.10017,0.390612,1.45188,0.0651389,11.0493
0.407045,1.79665,1.217,7.61015,1.217,7.61015,0.959915,1.19069,1.74898,47.5869,1.74898,47.6079,1.74898,47.5714,1.564,0.517246,1.39846,0.535294,1.39846,0.619593,1.39846,0.512182,1.29772,3.96542,1.29772,4.03981,1.29772,3.941,1.217,7.6032,1.15285,8.48117,1.15285,8.52302,1.15285,8.46508,1.08656,4.07067,1.08656,4.09233,1.10493,6.21952,0.959915,1.19041,0.861155,1.38626,0.828246,1.15464,0.861155,1.37562,0.798941,1.42327,0.407045,1.79665,0.0818936,11.9231
0.423465,2.14017,1.23312,9.97361,1.23312,9.97361,0.974166,1.48251,1.75984,56.5265,1.75984,56.5462,1.75984,56.5126,1.57931,0.643202,1.41404,0.668824,1.41404,0.757017,1.41404,0.642525,1.31791,4.55761,1.31791,4.65912,1.31791,4.5316,1.23312,9.96626,1.16887,10.8697,1.16887,10.9067,1.16887,10.8522,1.10493,6.23547,1.10493,6.25006,1.12088,8.28464,0.974166,1.48225,0.87987,1.79682,0.847129,1.53847,0.87987,1.78827,0.81345,1.7015,0.423465,2.14017,0.0976776,12.6657
0.437869,2.43265,1.24996,12.5265,1.24996,12.5265,0.993175,1.88806,1.77234,63.7128,1.77234,63.7283,1.77234,63.7037,1.59461,0.753724,1.42944,0.795284,1.42944,0.889829,1.42944,0.767444,1.3342,5.0042,1.3342,5.10876,1.3342,4.97529,1.24996,12.5189,1.18486,13.414,1.18486,13.4455,1.18486,13.3944,1.12088,8.29941,1.12088,8.31174,1.13683,10.5301,0.993175,1.88785,0.893912,2.10745,0.861155,1.82631,0.893912,2.0962,0.828246,2.02114,0.437869,2.43265,0.114164,13.2601
0.454277,2.74899,1.26811,14.3262,1.26811,14.3262,1.00746,2.20453,1.78671,68.538,1.78671,68.5512,1.78671,68.529,1.61079,0.895494,1.44518,0.890557,1.44518,0.991312,1.44518,0.86179,1.35084,5.41621,1.35084,5.53012,1.35084,5.38816,1.26811,14.3182,1.20089,16.1123,1.20089,16.139,1.20089,16.0915,1.13683,10.5445,1.13683,10.5541,1.15285,12.9738,1.00746,2.20434,0.912622,2.53142,0.87987,2.22876,0.912622,2.51886,0.847129,2.44201,0.454277,2.74899,0.129752,13.6933
0.471034,3.06304,1.2868,15.8616,1.2868,15.8616,1.02174,2.52922,1.80324,71.4299,1.80324,71.4411,1.80324,71.4227,1.62675,1.02832,1.46158,1.02749,1.46158,1.13443,1.46158,0.995874,1.36691,5.74958,1.36691,5.87583,1.36691,5.72046,1.2868,15.8533,1.217,18.9499,1.217,18.9714,1.217,18.9282,1.15285,12.988,1.15285,12.9943,1.16887,15.5739,1.02174,2.52904,0.926769,2.86227,0.893912,2.5366,0.926769,2.84958,0.861155,2.75063,0.471034,3.06304,0.145945,14.0541
0.487524,3.20656,1.29772,16.7805,1.29772,16.7805,1.04046,2.97699,1.80324,71.4299,1.80324,71.4411,1.80324,71.4227,1.69392,1.65444,1.47773,1.14347,1.47773,1.25571,1.47773,1.11094,1.38275,6.04799,1.38275,6.18694,1.38275,6.01578,1.29772,16.7721,1.23312,21.9289,1.23312,21.9443,1.23312,21.9074,1.16887,15.5878,1.16887,15.5903,1.18486,18.2974,1.04046,2.97683,0.940975,3.20099,0.912622,2.96072,0.940975,3.18756,0.87987,3.17888,0.487524,3.20656,0.16538,14.3085
