File = C:\Users\user\Desktop\0802保壓壓力\保壓-壓力5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,保壓-壓力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
組別 5 : Pp:60 MPa_Pt:0.9 s. (MPa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time (sec),runner_core ,Time (sec),SN18_core ,Time (sec),SN11_core ,Time (sec),SN4_core ,Time (sec),SN21 ,Time (sec),SN20 ,Time (sec),SN19 ,Time (sec),SN18 ,Time (sec),SN17 ,Time (sec),SN16 ,Time (sec),SN15 ,Time (sec),SN14 ,Time (sec),SN13 ,Time (sec),SN12 ,Time (sec),SN11 ,Time (sec),SN10 ,Time (sec),SN9 ,Time (sec),SN8 ,Time (sec),SN7 ,Time (sec),SN6 ,Time (sec),SN5 ,Time (sec),SN4 ,Time (sec),SN3 ,Time (sec),SN2 ,Time (sec),SN1 ,Time (sec),gate,Time (sec),runner ,Time (sec),sprue
0.324473,0.0631031,1.49375,0.012557,1.15274,0.289665,0.893716,0.0350239,1.69395,0.112716,1.69395,0.121618,1.69395,0.0976964,1.49375,0,1.33433,0.0167581,1.33433,0.0534811,1.33433,0.0173972,1.23298,0.880026,1.23298,1.05366,1.23298,0.847643,1.15274,0.224441,1.08644,0.620358,1.08644,0.716239,1.08644,0.59894,1.02161,0.012825,1.02161,0.00773895,1.04034,0.32189,0.893716,0.00383286,0.794644,0,0.76463,0.000825825,0.794644,0,0.731264,0.136489,0.3409,0.424261,0.0162609,1.83811
0.3409,0.423998,1.51002,0.0706783,1.16876,1.83863,0.912459,0.280892,1.72511,0.942349,1.72511,1.52214,1.72511,0.704545,1.51002,0.0410119,1.35098,0.161289,1.35098,0.23493,1.35098,0.147925,1.24968,2.44272,1.24968,2.55572,1.24968,2.40902,1.16876,1.83331,1.10486,2.50885,1.10486,2.56782,1.10486,2.49145,1.04034,0.335577,1.04034,0.393761,1.05735,0.684505,0.912459,0.279887,0.814218,0.321766,0.780414,0.333576,0.814218,0.324837,0.746089,0.441524,0.357403,0.768462,0.033261,7.24446
0.357403,0.774874,1.52561,0.208331,1.18475,3.52655,0.926621,0.541927,1.73369,24.1634,1.73369,24.149,1.73369,24.271,1.52561,0.210558,1.36705,0.285959,1.36705,0.364499,1.36705,0.272371,1.26759,3.11671,1.26759,3.18502,1.26759,3.09672,1.18475,3.52062,1.12077,4.29246,1.12077,4.34609,1.12077,4.27491,1.05735,0.709974,1.05735,0.832484,1.07095,2.31519,0.926621,0.541624,0.828323,0.671783,0.794644,0.562137,0.828323,0.66854,0.76463,0.817902,0.373891,1.10683,0.048879,10.1722
0.373891,1.11379,1.5409,0.331189,1.20076,5.4472,0.94081,0.808065,1.74355,38.0119,1.74355,38.0191,1.74355,38.0267,1.5409,0.333713,1.38288,0.410572,1.38288,0.491246,1.38288,0.392881,1.28108,3.4756,1.28108,3.54223,1.28108,3.45591,1.20076,5.4407,1.13676,6.27155,1.13676,6.31858,1.13676,6.25566,1.07095,2.34069,1.07095,2.38942,1.08644,4.04248,0.94081,0.807791,0.847015,1.08114,0.814218,0.89958,0.847015,1.07178,0.780414,1.10889,0.390403,1.45039,0.0651425,11.051
0.390403,1.45736,1.56401,0.513153,1.21689,7.59482,0.959761,1.18627,1.75489,49.2483,1.75489,49.2396,1.75489,49.2448,1.56401,0.515782,1.39857,0.540505,1.39857,0.624643,1.39857,0.517997,1.29794,3.97566,1.29794,4.04859,1.29794,3.95221,1.21689,7.58781,1.15274,8.46423,1.15274,8.5053,1.15274,8.44791,1.08644,4.05967,1.08644,4.08493,1.10486,6.20676,0.959761,1.18604,0.861053,1.38377,0.828323,1.17105,0.861053,1.37161,0.794644,1.3471,0.406845,1.79514,0.0818948,11.9238
0.406845,1.80189,1.57932,0.619771,1.23298,9.95168,0.974021,1.47759,1.76792,56.4594,1.76792,56.4585,1.76792,56.456,1.57932,0.622352,1.41404,0.669449,1.41404,0.758405,1.41404,0.644077,1.31804,4.57113,1.31804,4.67336,1.31804,4.54381,1.23298,9.94429,1.16876,10.8537,1.16876,10.8898,1.16876,10.8344,1.10486,6.22175,1.10486,6.23807,1.12077,8.2709,0.974021,1.47735,0.879681,1.79375,0.847015,1.53646,0.879681,1.78387,0.814218,1.73663,0.423271,2.13652,0.0976786,12.6666
0.423271,2.14299,1.59548,0.762089,1.24968,12.504,0.993037,1.88301,1.78292,60.3001,1.78292,60.3039,1.78292,60.2957,1.59548,0.764752,1.42979,0.784774,1.42979,0.878604,1.42979,0.756212,1.33433,5.01468,1.33433,5.12035,1.33433,4.9853,1.24968,12.4963,1.18475,13.3972,1.18475,13.4283,1.18475,13.3767,1.12077,8.28568,1.12077,8.29863,1.13676,10.5192,0.993037,1.88282,0.893716,2.10175,0.861053,1.82404,0.893716,2.09034,0.828323,2.03969,0.439693,2.47111,0.114228,13.2538
0.439693,2.47732,1.61148,0.889179,1.26759,14.2808,1.00733,2.19976,1.80016,61.9395,1.80016,61.945,1.80016,61.936,1.61148,0.891908,1.44534,0.888438,1.44534,0.988497,1.44534,0.860435,1.35098,5.41863,1.35098,5.53337,1.35098,5.39105,1.26759,14.2728,1.20076,16.0891,1.20076,16.1156,1.20076,16.0675,1.13676,10.5331,1.13676,10.5434,1.15274,12.9563,1.00733,2.19959,0.912459,2.52707,0.879681,2.2264,0.912459,2.51416,0.847015,2.43818,0.454058,2.76359,0.13094,13.7017
0.454058,2.76948,1.62716,1.04361,1.28108,15.3715,1.02161,2.52466,1.82,62.3764,1.82,62.3832,1.82,62.3738,1.62716,1.04639,1.46187,1.02272,1.46187,1.12971,1.46187,0.992135,1.36705,5.75372,1.36705,5.8805,1.36705,5.72449,1.28108,15.3633,1.21689,18.929,1.21689,18.9502,1.21689,18.9062,1.15274,12.9698,1.15274,12.9766,1.16876,15.5548,1.02161,2.5245,0.926621,2.85772,0.893716,2.5318,0.926621,2.84402,0.861053,2.74715,0.470779,3.06516,0.147824,14.0686
0.470779,3.07077,1.69395,1.63276,1.29794,16.8032,1.04034,2.97279,1.8428,62.2464,1.8428,62.2537,1.8428,62.2451,1.69395,1.63569,1.47757,1.14871,1.47757,1.26038,1.47757,1.11592,1.38288,6.05149,1.38288,6.19067,1.38288,6.01909,1.29794,16.7947,1.23298,21.9028,1.23298,21.9181,1.23298,21.8806,1.16876,15.5686,1.16876,15.5714,1.18475,18.2789,1.04034,2.97264,0.94081,3.19614,0.912459,2.9566,0.94081,3.18212,0.879681,3.17624,0.487129,3.20762,0.164742,14.2831
0.487129,3.21302,1.72511,2.27141,1.31804,18.3173,1.05735,3.44514,1.86903,61.7795,1.86903,61.7873,1.86903,61.7791,1.72511,2.27305,1.49375,1.28033,1.49375,1.39901,1.49375,1.24459,1.39857,6.32598,1.39857,6.47859,1.39857,6.2907,1.31804,18.3087,1.24968,25.0728,1.24968,25.0798,1.24968,25.0512,1.18475,18.2925,1.18475,18.2908,1.20076,21.1261,1.05735,3.44497,0.959761,3.66268,0.926621,3.28884,0.959761,3.64709,0.893716,3.49829,0.504835,3.63234,0.181644,14.4347
0.504835,3.63737,1.73369,22.3102,1.33433,19.3798,1.07095,5.07191,1.89919,61.0594,1.89919,61.0676,1.89919,61.0595,1.73369,22.3007,1.51002,1.44103,1.51002,1.57212,1.51002,1.40161,1.41404,6.57541,1.41404,6.74064,1.41404,6.53698,1.33433,19.371,1.26759,27.6215,1.26759,27.6195,1.26759,27.6021,1.20076,21.1395,1.20076,21.133,1.21689,24.1004,1.07095,5.0717,0.974021,4.02228,0.94081,3.63026,0.974021,4.00628,0.912459,3.94373,0.519625,3.82992,0.195428,14.5736
0.519625,3.83472,1.74355,37.9233,1.35098,20.3131,1.08644,6.82097,1.93388,60.1314,1.93388,60.1404,1.93388,60.1315,1.74355,37.9164,1.52561,1.59488,1.52561,1.73663,1.52561,1.55236,1.42979,6.78837,1.42979,6.96594,1.42979,6.74751,1.35098,20.3042,1.28108,29.1452,1.28108,29.1352,1.28108,29.1275,1.21689,24.1134,1.21689,24.1017,1.23298,27.1927,1.08644,6.82076,0.993037,4.51666,0.959761,4.10146,0.993037,4.49993,0.926621,4.29084,0.535629,4.13445,0.212504,14.7816
